ISBN,Title,Author,Year-Of-Publication,Publisher,Genre,Description,Average_rating,Ratings_count,Image-URL-S,Image-URL-M,Image-URL-L
1892597055,The Complete Strangers in Paradise Volume One,Terry Moore,1998,"Abstract Studio, Incorporated",Sequential Art,"This quality hardbound volume is the first in a series collecting the SIP story in its complete story arcs. Book One contains the entire original mini-series that introduced Francine, Katchoo, David, Freddie and more. Plus, a 5 page short story, sketchbook pages, character designs, creator notes featuring never before seen pages of script and unused scenes, and for the first time ever, actual pages from the original version of issue one that Moore never published, choosing instead to redraw the entire issue before its release date, altering scenes and characters alike. This is a must have book for the new reader and serious collector alike!",4.08,2755,http://images.amazon.com/images/P/1892597055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1892597055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1892597055.01.LZZZZZZZ.jpg
1565790529,Complete Guide to Colorado's Wilderness Areas (Wilderness Guidebooks),Mark Pearson,1994,Westcliffe Publishers,Travel,"Since the passage of the Wilderness Act of 1964, Congress has designated 41 wilderness areas in Colorado, totaling some 3.4 million acres ranging from desert to sagebrush to alpine crags. In addition, other undeveloped areas and national parklands have been proposed for wilderness status. In its newly revised second edition, The Complete Guide to Colorado's Wilderness Areas continues to serve as the foremost guide to these magnificent wild places.",4.44,16,http://images.amazon.com/images/P/1565790529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565790529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565790529.01.LZZZZZZZ.jpg
1565048024,Clan Novel: Tzimisce,Eric Griffin,1999,White Wolf Games Studio,Horror,"""The """"Dark"""" in the World of Darkness ""RM"" Rhymes with """"The Meat Sea"""". It began with Clan Novel: Toreador ""TM""; a 13-novel series concerning the Kindred. This series comprises the biggest event in the history of the World of Darkness -- and this is only the second book This epic series of over one million words will reveal the secrets of the vampires' hidden world, from the smallest detail to the grandest marvel. The Nosferatu's apparent scheme to put the Eye of Hazimel into the hands of the Setite, Vegel, will decide the fates of Kindred legions and determine the future of the Camarilla and Sabbat -- the sects engaged in a massive war along the entire East Coast. And that's pretty much what the Sabbat thinks of humanity. Each novel in this series features a member of one of the 13 vampire clans. Clan Novel: Tzimisce introduces the Sabbat side of the conflict through Sascha Vykos, a depraved and incredibly powerful night-predator. A war along the American East Coast erupts as the Sabbat launches relentless attacks against Camarilla-held cities"".",3.5,620,http://images.amazon.com/images/P/1565048024.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565048024.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565048024.01.LZZZZZZZ.jpg
1401200451,Green Arrow: The Sounds of Violence,Kevin Smith,2004,DC Comics,Sequential Art,"The reinvention of a classic comics character continues...Oliver Queen (a.k.a. Green Arrow) is back in Star City, looking to get his life back in order. His relationship with the Black Canary is in tatters, and his 'family' want his undivided attention, something he's not able to give. Not when a mysterious killer is systematically taking out 'vigilantes', and Green Arrow himself is on his list. Continuing the much acclaimed run by director Kevin Smith (Jersey Girl, Jay & Silent Bob Strike Back), 'The Sounds of Violence' is another unique slice of searing comic book mythology, crafted by a master of dialogue and pacing.",4.03,1973,http://images.amazon.com/images/P/1401200451.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1401200451.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1401200451.01.LZZZZZZZ.jpg
1563410087,"Dykes to Watch Out for: The Sequel : Added Attraction! \Serial Monogamy\"" : A Documentary""",Alison Bechdel,1992,Firebrand Books,Sequential Art,"Grin, giggle, and guffaw your way through this celebrated cartoonist's graphic commentary of contemporary lesbian life.",4.29,508,http://images.amazon.com/images/P/1563410087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563410087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563410087.01.LZZZZZZZ.jpg
1899749306,Nobilis: The Game of Sovereign Powers,R. Sean Borgstrom,2002,Guardians of Order,Fantasy,"In Nobilis, players take on the roles of the Sovereign Powers, each the personification of one single aspect of reality: night, roads, ecstasy, chains, time, water - whatever the players can conceive of. Once human, each character has been forever changed, imbued with awesome power and terrible responsibility. Heaven and Hell, angels and devils, the Giants and the Old Gods - in Nobilis, all are united in the Great War against the Excrucians, whose goal is to destroy all Creation - but all are divided by their own plots and ancient rivalries, as well.",4.36,160,http://images.amazon.com/images/P/1899749306.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1899749306.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1899749306.01.LZZZZZZZ.jpg
1858683688,The Natural History Museum Book of Dinosaurs,Tim Gardom,1999,Welcome Rain,Science,"For 160 million years, dinosaurs were the most successful and diverse creatures to dominate the Earth. This book is based on the world-famous fossil collections and permanent Angela Milner is Head of Fossil Vertebrates at The Natural History Museum.",4.07,14,http://images.amazon.com/images/P/1858683688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1858683688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1858683688.01.LZZZZZZZ.jpg
1573926809,"Looking for a Miracle: Weeping Icons, Relics, Stigmata, Visions &amp; Healing Cures",Joe Nickell,1999,Prometheus Books,Religion,"The willingness of people to believe in magical icons, mystical relics, and miraculous pictures (like the Image of Guadalupe) is almost as curious as these phenomena themselves. Though they cry out for scientific investigation, millions of people blindly accept them as fact.,Historical and paranormal investigator Joe Nickell confronts such strange events, powers, and objects as the Shroud of Turin, bleeding or weeping statues, burning handprints, liquefying blood, ecstatic visions, miraculous cures, and people speaking in tongues in Looking for a Miracle. Departing from standard critiques of religion, Nickell carefully investigates the evidence relating to specific claims.,Religious believers and rationalists alike have much to learn from this revealing examination of the evidence for the miraculous.",3.96,57,http://images.amazon.com/images/P/1573926809.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573926809.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573926809.01.LZZZZZZZ.jpg
1569313911,Pokemon Origami (Pokemon),Ryoko Nishida,1999,VIZ LLC,Crafts,"Pokmon fans can bring their favorite creatures to life with this colorful origami kit. Preprinted paper and instructions direct readers in creating three-dimensional figures of Ash Ketchum, Bulbasaur, Squirtle, Eevee, Zubat, and other favorite Pokmon, as well as readers' own characters. The Pokmon phenomenon is based on the Nintendo Game Boy adventure, which sets players on a quest to collect all 150 Pokmon creatures - an eclectic assortment of animal, vegetable, mineral, and out-of-this- world characters.",4.59,51,http://images.amazon.com/images/P/1569313911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569313911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569313911.01.LZZZZZZZ.jpg
1885670761,Today's Herbal Health: The Essential Guide to Understanding Herbs Used for Medicinal Purposes,Louise Tenney,1997,Woodland Publishing,Science,"For thirty years and after a million copies, Louise Tenney's ,Today's Herbal Health, - now in its sixth edition - has been the essential reference book for anyone interested in maintaining optimal health and overcoming disease. Concise and comprehensive listings of over 175 medicinal herbs and botanicals-including hoodia, rhodiola, mangosteen, boswellia, bitter orange fruit, and elderberry, as well as glucosamine, ginseng, and echinacca-allow quick and easy reference to the information you need. ,Also included is a valuable overview of the most common ailments and how to treat them with herbs and other natural therapies. Today's Herbal Health also covers important information on nutrition for children and adults and includes real-life accounts from people just like you that provide incredible evidence of how effective herbs are in maintaining great health. ,This thirtieth anniversary edition of Today's Herbal Health marks the founding of Woodland Publishing in 1977. Committed to helping everyone understand and use the healing power of nature, Woodland continues a rich tradition of healing that began before Hippocrates and continues with the latest research.",3.5,20,http://images.amazon.com/images/P/1885670761.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1885670761.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1885670761.01.LZZZZZZZ.jpg
1571451811,What's Cooking Vegetarian (What's Cooking),Jenny Stacey,1999,Thunder Bay Press (CA),Nonfiction,"From simple dishes to elaborate gourmet meals, every cook will find plenty of old favorites and discover exotic new cuisines in this comprehensive series. Each book provides more than 100 easy-to-follow recipes accompanied by tantalizing color photographs.",3.88,25,http://images.amazon.com/images/P/1571451811.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1571451811.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1571451811.01.LZZZZZZZ.jpg
1584792965,Alton Brown's Gear for Your Kitchen,Alton Brown,2003,"Stuart, Tabori and Chang",Nonfiction,"Alton Brown has smoked a salmon in a cardboard box, roasted a prime rib in a terracotta flower pot, cooked onion soup in an electric skillet, used a C-clamp as a nutcracker, and a binder clip to hold a probe thermometer in place. While his machinations may border on the Rube Goldberg-esque, it is among Brown's missions to present the best - and often the simplest - tool to get the job done. Following an introduction that discusses a little bit of kitchen history and some advice on room layout and organization, the book is divided into 9 chapters: Big Things with Plugs, Pots and Pans, Sharp Things, The Tool Box, Small Things with Plugs, Storage and Containment, It Came From the Hardware Store, Surfaces, and Safety and Sanitation.",4.16,2482,http://images.amazon.com/images/P/1584792965.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1584792965.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1584792965.01.LZZZZZZZ.jpg
1584790830,I'm Just Here for the Food: Food + Heat = Cooking,Alton Brown,2002,"Stuart, Tabori and Chang",Nonfiction,"Blending humor, wisdom, history, pop culture, science, and basic cooking knowledge, the host of Food Network's ,Good Eats, presents a special edition of his innovative, instructional cooking guide that features various cooking techniques accompanied by a ""master"" recipe for each technique, and provides a vast array of food-related tips and advice.",4.11,22279,http://images.amazon.com/images/P/1584790830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1584790830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1584790830.01.LZZZZZZZ.jpg
1557882622,"Cooking the Whole Foods Way: Your Complete, Everyday Guide to Healthy, Delicious Eating With 500 Recipes, Menus, Techniques, Meal Planning, Buying Tips, Wit &amp; Wisdom",Christina Pirello,1997,HP Books,Nonfiction,"Christina Pirello takes the mystery out of preparing whole foods and adds a liberal sprinkling of fun. Along with great recipes, what this cookbook is really about is changing the way you think about the foods you choose. More than simple substitutions -- brown rice syrup instead of sugar, brown rice instead of white -- Christina offers a cookbook that can change your life and how you live it day to day.",3.84,262,http://images.amazon.com/images/P/1557882622.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1557882622.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1557882622.01.LZZZZZZZ.jpg
1591450055,Circle of Honor (Scottish Crown Series),Carol Umberger,2002,Integrity Publishers,Historical,"Author Carol Umberger combines her love of history, romance, and God in a quartet of powerful stories set in 14th-century Scotland during the reign of Robert the Bruce, Scotland's great hero king.",4.11,876,http://images.amazon.com/images/P/1591450055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1591450055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1591450055.01.LZZZZZZZ.jpg
1885211066,A Woman's World,Marybeth Bond,1995,Traveler's Tales,Travel,"The first special edition in the Travelers' Tales series, ,A Woman's World, brings together more than 50 contemporary voices in which women tell their tales, offer pearls of advice and warning, and share their dreams and ambitions with fellow travelers.",3.94,163,http://images.amazon.com/images/P/1885211066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1885211066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1885211066.01.LZZZZZZZ.jpg
1593080344,"The Complete Sherlock Holmes, Vol. I (Barnes &amp; Noble Classics)",Arthur Conan Doyle,2003,Barnes &amp; Noble Books-Imports,Classics,"Eccentric, arrogant, and ingenious, Sherlock Holmes remains the world's most popular and influential fictional detective. In four novels and fifty-six short stories, Holmes with his trusted friend Dr. Watson, steps from his comfortable quarters at 221B Baker Street into the swirling fog of London. Combining detailed observation with brilliant deduction, Holmes rescues the innocent, confounds the guilty, and solves the most perplexing puzzles crime has to offer.,Volume I of The Complete Sherlock Holmes begins with Holmes's first appearance, A Study in Scarlet, a chilling murder novel complete with bloodstained walls and cryptic clues. This is followed by the baffling The Sign of Four, which introduces Holmes's cocaine problem and Watson's future wife. Volume I also includes the story collections The Adventures of Sherlock Holmes and The Memoirs of Sherlock Holmes, and concludes with the tale ""The Final Problem,"" in which Conan Doyle, tired of writing Holmes stories, kills off his famed sleuth.,(back cover)",4.49,29575,http://images.amazon.com/images/P/1593080344.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1593080344.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1593080344.01.LZZZZZZZ.jpg
1893554260,Who Killed Homer?: The Demise of Classical Education and the Recovery of Greek Wisdom,Victor Davis Hanson,2001,Encounter Books,History,"With straightforward advice and informative readings of the great Greek texts, the authors show how we might still save classics and the Greeks for future generations. ,Who Killed Homer?, is must reading for anyone who agrees that knowledge of classics acquaints us with the beauty and perils of our own culture.",3.91,413,http://images.amazon.com/images/P/1893554260.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1893554260.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1893554260.01.LZZZZZZZ.jpg
1565048830,"Silent Striders &amp; Black Furies (Tribe Novel, Book 2)",Gherbod Flemming,2001,White Wolf Publishing,Fantasy,"At a Concolation called by Karin Jarlsdottir of the Get of Fenris and others, the Garou decided that it was time to learn more about a dangerous Wyrm beast in the heart of Serbia that seems to only be growing stronger. In the Silent Striders portion of this second book of the Tribe Novel series, this foe is sought within the Umbra. In Black Furies, the Garou attempt to gain information in the physical world, and that demands a journey through many blighted lands.",3.46,91,http://images.amazon.com/images/P/1565048830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1565048830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1565048830.01.LZZZZZZZ.jpg
1931514941,Love Hina (Book 1),Ken Akamatsu,2002,Tokyopop,Sequential Art,"At the age of 5, Keitaro and his childhood sweetheart promised to meet again as students at Japan's most prestigious university. Now 20, he can't pass his entrance exams...or even remember the girl's name. Stumbling into a fluke job at an all-girls dormitory may be his last chance. In the series that inspired the new hit anime, Love Hina proves that love conquers all. Even stupidity.",3.73,11687,http://images.amazon.com/images/P/1931514941.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1931514941.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1931514941.01.LZZZZZZZ.jpg
4889960465,How to Draw Manga: Dressing Your Characters in Casual Wear (How to Draw Manga),The Society for the Study of Manga Techniques,2001,Graphic-Sha Publishing,Sequential Art,"In this volume, which targets all levels of manga artists, from those first starting out to the highly advanced, explanations of techniques in drawing maid uniforms and the traditional dress of miko (maiden in the service of a Shinto shrine) are provided along with copious amounts of images. Examples of explanations are those provided on the pieces making up the uniform most commonly used in illustrations. This is a unique publication, focusing on maids and miko, a topic previously attempted.",3.49,81,http://images.amazon.com/images/P/4889960465.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/4889960465.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/4889960465.01.LZZZZZZZ.jpg
4889960473,How to Draw Manga Special: Colored Original Drawing,The Society for the Study of Manga Techniques,2001,Graphic-Sha Publishing,Sequential Art,"The media used for colour genga (original drawings) are felt markers. Copic sketch markers are particularly popular, because they allow the artist to use a wide variety of styles and can be used with an airbrush. This publication presents in great detail copic sketch techniques, giving consideration to suitability with paper and even includes techniques of combining markers with pastels and other media. It is an unparalleled, innovative manual, proving excellent reference for the beginner and the professional alike.",3.74,43,http://images.amazon.com/images/P/4889960473.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/4889960473.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/4889960473.01.LZZZZZZZ.jpg
1569246629,The Parent's Tao Te Ching: Ancient Advice for Modern Parents : A New Interpretation,William C. Martin,1999,Avalon Publishing Group,Nonfiction,"Classic Taoist wisdom applied to the world of parenting, guiding mothers and fathers to meaningful conversations and relationships with their children., William C. Martin has freshly reinterpreted the Tao Te Ching to speak directly and clearly to the most difficult of modern tasks -- parenting. With its combination of free verse and judicious advice, ,The Parent's Tao Te Ching, addresses the great themes that permeate the Tao and that support loving parent- child relationships: responding without judgment, emulating natural processes, and balancing between doing and being., ""A masterpiece. William Martin captures the essence of what it means to raise a child. Urgently needed, this precious book lifts parenting to new heights.""-- Judy Ford, author of ,Wonderful Ways to Love a Child, and ,Wonderful Ways to Be a Family",4.5,1025,http://images.amazon.com/images/P/1569246629.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569246629.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569246629.01.LZZZZZZZ.jpg
1569246505,The Couple's Tao Te Ching: Ancient Advice for Modern Lovers,William Martin,2000,Marlowe &amp; Company,Nonfiction,"Following the successful debut of the ,Parent's Tao Te Ching, -- William Martin now reinterprets the Tao for couples., With ,The Parent's Tao Te Ching, ,William Martin beautifully re-interpreted Lao Tzu's ,Tao Te Ching, -- one of the world's oldest and most widely read books of wisdom -- expressly for parents. Now, he distills and freshly re-interprets the essence of each of the Tao's 81 chapters to speak directly and clearly to couples., William Martin's indelible, spirited, and sage advice, rendered in free verse, captures the ancient spirit of Lao Tzu's original text, yet speaks directly to modern lovers--and to the full sweep of their experiences and emotions. A deeply felt alternative to advice books that urge readers to manipulate their partners rather than to love them, ,The Couple's Tao Te Ching, is for everyone who has embarked upon a loving relationship, which, as William Martin says, ""can be the most rewarding and enlightening adventure possible.""",4.45,154,http://images.amazon.com/images/P/1569246505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569246505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569246505.01.LZZZZZZZ.jpg
1580631797,Linda McCartney: A Portrait,Danny Fields,2001,Renaissance Books,Biography,"For over thirty years, until her tragic death from cancer in 1998, Linda McCartney was one of Danny Fields's closest friends -- a confidant in art, love, career, and men. Like virtually everyone she came into contact with, Fields was won over by this completely unpretentious woman, a person of style and substance in a milieu where artifice was the order of the day.This revealing work, which has found great success in its hardcover edition, promises to make a further impact as a trade paperback -- its true market.,Featuring exclusive interviews with members of Paul and Linda's circle of friends, Linda McCartney: A Portrait is an inside look at one of rock music's few enduring marriages and one of its most fascinating women. This is the book for anyone who thinks they've read everything about the most exciting period in pop-culture history.,The book delves into: ,-- Linda's innate talent with a camera and her landmark photos of late '60s rock royalty,-- her thirty-year relationship with Paul McCartney, an inspiring love story of true devotion,-- the enormous hostility directed at Linda by the public and the media following her marriage to Paul,-- her later careers as a musician, artist, activist, and businesswoman,-- her courage in the face of mortal illness,Linda McCartney: A Portrait is an insider's look at an epic time and a simple woman whose grace and integrity gave strength to everyone she touched.",3.76,148,http://images.amazon.com/images/P/1580631797.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1580631797.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1580631797.01.LZZZZZZZ.jpg
